,0
232,"하늘언니 !!
저는 이번에 20살이된 대학생입니다. 언니 동영상 항상 잘보고 너무 멋지다고느껴요ㅠㅠ😍😍
그리고 저도 창업을 꿈꾸고 있어서 많이 찾아보고있는데 언니의 창업얘기,경영방식을 더깊고 자세하게 듣고싶어요!! 가능하신다면 그런얘기를 들려주실수있나요??❤️😄 완전 제 워너비입니다 ㅎㅎ❤️💕﻿"
233,헛 저도 각진 미니백 좋아해요♡♡﻿
234,우와 투명가방 넘나 예뻐요❣️﻿
235,진짜 하늘언니랑 찰떡인 제품들만!! 가방들도 다 졸귀탱❤️﻿
236,브랜드도 다양하고 디자인도 다양해서 보기 즐거웠어요!!﻿
237,소프트심볼은 이미 품절이네여ㅠㅠㅠ﻿
238,처음 지방시 가방은 색깔이 하늘언니랑 안어울리는것같아요 ..ㅠㅠ 하늘보단 핑크가 잘 어울리시는듯﻿
239,귀걸이 정보 궁금해요!!﻿
240,하늘언니 항상잘보고있어용 근데 가방가격도 옆에기재해 주시면 좋겠어용 ㅠㅠ😢﻿
241,Waiting the sub 👍﻿
242,eng subs!?﻿
243,무거운가방은 진짜 아무리좋은거사도 안들게되서 요새는 에코백만들고당긴다는..ㅋㅋ﻿
244,턱밑에 브이 안하면안되요ㅜㅜ? 전 영상들부터ㅜㅜㅜㅜ보기좀싫어요..죄송해요﻿
245,하늘 = 인간명품 💫🌟❗️﻿
246,Eng sub please!! 😭😭😭﻿
247,영상 편집이랑 촬영하시는 분들이 오디오를 두 카메라중 하나만 선택해서 통일감있게 해주시면 좋을것같아요!ㅎㅎ카메라가 바뀔때마다 오디오가 바뀌어서 짝 불편했답니당ㅎㅎ작은 의견이었습니당 총총﻿
248,딱내스타일 ㅎㅎ돈벌면 조금만사야지ㅠㅠ유익한영상좋아요﻿
249,귀여워….오늘도…ㅇ여여전히….﻿
250,"가방 예쁜거 엄청 많으세요👍👍💕💕
아참! 기스 라는 일본말보다 흠집이라는 말을 쓰면 영상이 더 예쁠것같아요!﻿"
251,귀걸이 정보 알 수 있을까요??🙆‍♀️﻿
252,"명품 가방 몇백씩 들여서 사는데 녹이 슬고 그러는 군요ㅎㅎㅎ명품은 그 만큼의 값어치를 하는 줄 알았는데 그냥 브랜드 값이라니 허허
(명알못)﻿"
253,하늘님 넘나 귀염뽕짝하구 영상도 넘 잘봤어용!!!!!! 저도 에코백 아니면 가죽가방은 다 미니백 좋아하거둔요!!! 알려주신 중저가 브랜드들은 구경가볼라구여~~~!!!제취향 가방들 많아서 넘넘 재밋엇어요!!!❤️❤️﻿
254,"오히려 백 이름이나 정보같은거 모르고 좋아하는거 그때그때 골라서 사신게 더 보기 좋아요. 진짜 좋아서 산 거같고, 이름이나 콜렉션 따져서 사는것도 물론 재미가 있지만 다들 너무 극성이라 피곤할때도 있어서 하늘님의 비디오가 더 신선합니다. 패션 잘 몰라도 자기만의 취향으로 사고 입는게 더 멋있어요.﻿"
255,
256,하늘님 가방 핸들에 스카프 같은 걸로 매면 느낌도 새롭고 안 헤져서 좋아요 한번 알아보세요!!!!!!^^﻿
257,구찌가방 제가 정말 갖고싶던거였는데 생각보다 무겁군요 ㅠㅠ﻿
258,♥️﻿
259,왜 난 언니 쌩얼이 더 익숙하지﻿
260,하...소프트심볼 가방 찾아서 주문하고 왔습니다 너무예뻐ㅠㅠㅠㅠ﻿
261,I love your video. But i don't understand what are you talking. Please make eng sub thankyou ❤﻿
262,언니 가방 진짜 막 대하는게 보이네요....ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ귀여워ㅠㅠ﻿
263,항상 겸손하신것 같아서 너무 보기좋아요♡﻿
264,이 언니 웃을 때 진짜 매력적이시다.. 웃을 때 너무 이뻐서 놀랐네﻿
265,하늘님 3분 30초부터 4분10초까지 목소리가 확 작아집니다!﻿
266,다음엔 구두 해주세욥!!!﻿
267,헐 언니 구찌를 선물받았다구요...머박적 ㅜ﻿
268,"가방안에
들어갈거 같고 ㅋㅋㅋㅋㅋ﻿"
269,가방은 어떻게 정리 해두는지도 궁금해요 !!﻿
270,가방 하나하나 다 너무 예뻐요~~❤️ 충분히 하늘님만의 방식대로 잘 설명 해주셨으니 걱정마셔용 가볍고 편하고 실용적인게 짱인거 넘나 공감이에요 ㅋㅋㅋㅋㅋㅋ﻿
271,히..힙스터~? ㅋㅋㅋㅋㅋ귀여워요﻿
272,영상초반에 나온 검은 발렌시아가 백이 제일 취향저격이에요ㅋㅋㅋㅋㅋ 저도 적당한(?) 미니사이즈 백을 좋아하기는 하는데 하늘님과는 반대로 뭔가 각진 미니백은 너무 모시고 다녀야할거같은 기분이 들어서...(저는 돈이 읍거든여..) 좀 흐물흐물한게 좋거든요 ㅋㅋㅋㅋ 근데 저 사이즈에 저런 디자인이 너무 귀엽네용 갖고싶당﻿
273,언니 오늘도 잘보고 갈게용❤ 좋은 밤 되시길😍❤﻿
274,언니~~~화이트발렌시아가 사이즈가 혹시 어떻게되나용﻿
275,가방들도 넘나리 하늘스럽지만 언니 귀걸이 정보알려주세요!!귀걸이 노무 예뽀요........﻿
276,ㅠ넘귀여우시다ㅠㅠㅠ﻿
277,파스텔컬러백 언니한테 너무 잘어울리는거같아요!!!﻿
278,언니 지갑도 보여주세용!﻿
279,언니 진짜 넘 예뻐요~~~~~~일상영상 많이 올려주세요!!❤️﻿
280,요번거는 꽤 명품하울인데 딱히 현타가 안온다.ㅋㅋㅋㅋㅋ가방은 확실히 가벼워야 함 ㅜㅜㅜㅜ 저렴하든 고가든 가방 무거우면 답이 없다 ㅜㅜ하늘님 진짜 솔직하게 무거운지 아닌지 얘기해줘서 굳굳★﻿
281,언니 요즘 악성댓글에 스트레스 받으시는건가.. 자꾸 조금만 예쁘게봐주세요~라고 하시는거 같은데 누가 언닐 욕해요 으엉 ㅠㅠ속상 ㅠㅠㅠ﻿
282,언니 나중에는 신발이나 옷도 해주세용 ㅠㅠ 이런 거 너무 좋아요 ㅎㅎ 약간 시리즈 처럼 했으면 하는 바램이 ..﻿
283,"으아 언니 ㅜ ㅜ 저 이번에 구독하게 된 사람이에요 .. 언니를 알고는 있었고 하늘하늘도 가끔 사용하긴 했었어요 근데.. 언니 유튜브 보고 ㅠ언니의 매력에 빠져버림.. 그냥 보고 지나쳤는뎈ㅋㅋ하루종일 뭔가 생각났어요 되게 매력있는 사람이다 싶어서? 젊은 나이에 대표가 된 것도 존경스럽고 그냥 넘 멋져요,, 이 영상도 잘 볼게요 바쁜 와중에 영상 고마워요 항상 행복하세요👊👊😆﻿"
284,언니ㅠ진짜 사랑스러워요💓💓💓💓💓💓💓﻿
285,언니 구두랑 신발도!!!!! 해주세용❣﻿
286,언니 완전 오늘 공주같아요.. 백설공주 너무너무너무 이뻐요..공주하늘최고﻿
287,가방보관은어떻게하세요?﻿
288,Please add English subtitles.﻿
289,ㅋㅋㅋ하늘님....가방안보이구 하늘님만보인다능...ㅠㅠ...넘나에뿌심 ..ㅠ﻿
290,"저도 언니처럼 키가 작아서 진짜 가방 90%가 미니백이에요 ㅋㅋㅋㅋ 글구 진짜 취향이 저랑 비슷하세요 >_< 저도 검은가방 베이지, 아이보리 같은 튀지않는게 대부분 이에요 히히히 미니백 쨩 👍🏻💕﻿"
291,다귀엽고 다 데일리네요﻿
292,발렌시아가에 대한 인상이 바뀌었어요. 매장한번 가봐야겠네요. 잘봤습니다﻿
293,かわいい﻿
294,가방소개인데 왜전 자꾸 머리띠에 눈이가죠~?! 머리띠가 진짜 이뻐용!!❤️﻿
295,언니의 해맑은 모습이 정말좋아여❤﻿
296,언니 제가 요즘 너무 트러블이올라와서 잠시나마 파데안쓰려고하는데요 둥둥뜨지않으면서도 화사해지는  톤업크림이나 썬크림 추천해주세요 ㅠㅠㅠ혹시 아시는분 아무나 알려주세요!지속력도 좋은거있으면 그것도요...﻿
297,헐 언니 너무 예쁘세여ㅠㅠㅠ❣️❣️💛﻿
298,그 두번째 발렌시아가 가방 파리에서 사신거죠!!! 브이로그에서 본거같어용﻿
299,귀염뽀짝 뷰리풀 프리티 영앤리치 ❤️하늘쨩❤️금요일은 언니 영상 올라와서 넘 좋아요~!﻿
300,정말 진짜 되게 너무 —>하늘언니 이말 엄청 많이하네요ㅋㅋㅋ﻿
301,꺆 샤넬 코코핸들(마지막)가방은 스트랩빼고 보관하셔야 해요!!!!!!! :-) 색깔 너무 이뻐요 히히 보이백진쨔......넘냐 찰떡인 것! 오늘 영상도 잘 봤어요🍒💘﻿
302,"영 앤 리치 앤 러블리 ❤️
믓찌다!!!!!!!!🤟🏻🤟🏻🤟🏻🤟🏻🤟🏻🤟🏻🤟🏻
마지막 가방은 진짜 찰떡 늘템🤟🏻🤟🏻🤟🏻🤟🏻﻿"
303,아무리 예뻐도 무겁고 불편하면 안들게 되던데 하늘언니 영상은 역시..bb 실용성짱짱 공감하구가요ㅎㅎ﻿
304,너무 예뻐용~><﻿
305,지방시 안티고나 하늘색 엄청 예쁘네요! 하늘님 아이덴티티에 딱입니당﻿
306,뭐 다 막 들기 편한 가방이라고 ㅋㅋㅋㅋㅋㅋ﻿
307,예쁜 원피스 쇼핑몰도  추천 부탁드립니당^^﻿
308,"저는 키가 작아용 154 ㅠㅠㅠ
사계절 원피스만  입는편이라

그래서 항상 미니백만  하고다녀용^^


선물받은 비싼가방도 있는데  무겁고  크고 불편해서 거의 안해요~

원피스에  미니백하고 다니는게 젤 편하고 좋음 ~^^﻿"
309,"이런 영상 너무 좋아요💙
요즘 사용하는 쿠션이나 파데영상도 보고싶어요!!﻿"
310,저번에 보여주신 화장품 방들의 화장품 많아서 못 보여주신다고 하셨었는뎅 파트별로 해서 추천템? 추천도 좋을 것 같아용 ㅎㅎ﻿
311,저는 이런영상이 너무 좋아요 !! 하울영상 많이 올려주세요 !!﻿
312,ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ가방 안에 들어갈것 같다뇨ㅋㅋㅋㅋㅋㅋㅋㅋ 넘나 잘봣어용💕﻿
313,제취향이랑완전똑같애요 ㅎ 저두각지고미니백만조아해용ㅎ﻿
314,"부러우면 ,, 지는거가 ㅂㄷㅂㄷ﻿"
315,
316,하늘님 고급져 고급져 🖤﻿
317,"언니 맨처음에 소개하셨
던지방시 안타고나백
여주아울렛에서 50퍼센트 할인받아서 사셨던 가격이 어느정도인지 여쭤봐도 될까요???
너무너무 이뻐요ㅠㅠㅠ!!!!!!❤️﻿"
318,추리닝에 발렌시아가 ...... 역시 영앤리치큐트﻿
319,"샤넬 보이백 하드웨어 색깔은 정확히 말하면 ruthenium이에요!
그리고 루이비통 카푸씬은 원래 좀 포멀한 룩에만 잘 어울리는 감이 있죠. 그리고 지금 가지고 계신 사이즈가 pm 인데 bb 로 사셨으면 훨씬 활용도가 높았을텐데..
그리고 코코핸들 이쁘네요. 핸들 부분 도마뱀가죽인거 같은데... 쉐브런 패턴이 이쁜거 같아요 코코핸들은﻿"
320,제일 아끼신다던 저 백....네..제눈에도 저게 제일 예쁘네요..넘예뻐﻿
321,입생로랑 징(?)박힌거 모델명뭔지아시는분..﻿
322,언니! 언니동영상볼때마다ㅜ너무행복쓰해여ㅜㅜ우울한거싹다날라감 ♥ 일상브이로그 많이찍어주세요!!!﻿
323,가방도 이쀼고 하늘언니도 이쁘고✨❣️﻿
324,언니가방다내취향 ..❤﻿
325,저도 샤넬 코코핸들 미니 있는데 리자드 핸들이구요~ 보관하실때 스트랩 빼놓으셔야해용~ 안그럼 가죽 닿는 부분이 자꾸 색이 변해요. . 그리고 까맣게 된 부분은 가죽 클리너로 닦아주시고 가죽 크림 발라주시면 오래오래 깨끗하게 쓰실수 있어요~ 저는 핑크색인데 베이지색 너무너무 예쁘네용 왜 국내엔 안들어올까요 ㅠ.ㅠ 루이비통 카푸신도 제가 좋아하는 가방이고 위시템인데 저거보다 작은 미니 사이즈가 있어요~ 그건 크로스도 가능하고 그리 안무겁더라구요. . 참고하세용~♥﻿
326,옷 너무 귀여워요 옷 정보는 어떻게 되나여?﻿
327,하늘님 왜케 보면 볼수록 좋디...🤔🤔💟💟💟﻿
328,이런영상 좋아여💗하늘님이 소개하시는 건 다 꿀템!! 옷장 소개도 보고싶어요 원피스편 운동복편 악세사리편 이러케 시리즈로용 ㅎㅎㅎㅎㅎㅎ﻿
329,언니 큰맘을 몇번 먹는거에욬ㅋㅋㅋㅋㅋㅋ기여웡 ㅠㅠ 힝﻿
330,혹시 귀걸이 정보알수있을까용??﻿
331,
332,"다른 유튜버들 리뷰들은 보여주는거마다 “너~~무 이쁘죠?” “한눈에 반해서 샀어요” 이러면서 설명은 잘 안하면서 딱 느낌이 티는 안낼려고 하지만 난 이런거 많아 부럽지? 이런 느낌이였는데, 하늘씨는 어떻게 썻는지 어떤점이 좋은지 안좋은지 자세히 말 해줘서 좋은거같아요﻿"
333,언니 스탈 진짜 다 제가 좋아하는거...ㅠㅜㅜ﻿
334,진짜 이언니 영앤리치프리티의 교본﻿
335,키작녀분들이나 가방짧게매고싶으신분들 가방구멍 더 뚫어서 매세요!!! 저는 묶어서맬땐 매듭부분이 어깨를 눌러서 아프고 불편하더라구요ㅠㅅㅠ 신발수선?시계수선?같은곳가면 뚫어주시는데 전 그냥 인터넷에서 펀치 만원도안하길래 그냥 사서 벨트도 뚫고 가방도 뚫고 신발스트랩도 뚫고 유용하게씁니당﻿
336,저도 크던지 작던지 각진가방만 좋아요!!♡﻿
337,제발 이 영상보구 상대적 박탈감 든다고 안 썼으면 좋겠다 ㅜㅠㅠㅠ 영상 잘 보고 댓글 보다가 그런 내용 발견하면 팍 식음... 1도 안 궁금하니까요... 혼자 생각하기... 하늘님만의 개인적인 의견이 담긴 가방 영상 너무 좋았어요! 잘 봤습니다﻿
338,언니 원피스 정보는 없나용??? 너무이뻐요💙﻿
339,살구피치색 코코샤넬 가방 보관하실때 스트랩은 빼서 가방안에 보관하셔야된데요~!!! 탈부착되는 스트랩이라서 가능하실꺼에요.﻿
340,조심스럽게 힙스터 ㅋㅋ﻿
341,오늘 화장짱인데요?  언니는 언니닮은 예쁜가방들이많으시네요!  너무예쁘세요♥♥♥﻿
342,"으악 쿠쿠언닝 영상 엄청 기다렸어용ㅎㅎ
다음 영상유럽여행 브이로그였으면 좋겟당 ㅜㅜ
오늘 영상도 그뤠잇﻿"
343,뒤쪽에나온 루이비통 네모난거 잘안쓴다핳때 속으로 그럼 엄마를 주징....! 이생각햇는데 바로 엄마준다고 나왓네용ㅋㅋㅋㅋㅋㅋㅋㅋ﻿
344,"얘, 발렌시아가﻿"
345,언니 ! 가방 보관은 어떻게 하세요??﻿
346,허류ㅠㅠㅠㅠㅠㅠ❤️❤️﻿
347,진짜 ㅋㅋㅋㅋ﻿
348,언니 영상에 광고팍팍넣으세요ㅜㅜ어뜨케 22분영상에 광고가 하나도없죠?!ㅜㅜ﻿
349,아예뻐어 ㅠㅠㅠ가방들도언니처럼 넘나이뿌ㅠㅠㅠㅠ💙💙💙💙﻿
350,가방 다 취향저격☺️💕 넘 예뻐요ㅠ﻿
351,영상에서 왜 띠롱 또롱 똥똥.. 이런 소리가나죠?.. 일부러 작게 넣으신건가요? 집에 냉장고문 안닫은 줄 알았는데 영상에서 소리가..﻿
352,오!늘!도!존!예!여!신!﻿
353,보이백 너무 이쁘당 ㅠㅠㅠㅠ﻿
354,발렌시아가 파피에르 아니에용? 미니 시티가 아니라??﻿
355,저도 미니백 엄청 좋아하는데 나중에 돈 모으면 저 중에 하나라도 사고 싶어요ㅠㅠㅠㅠ﻿
356,언니 가방 쪼매는법? 알려주세용﻿
357,"Yeayy new video from our eonni kkk 
Fighting💕﻿"
358,절대안과한데;﻿
359,너무예뻐요﻿
360,언니 원피스 정보좀 주세요..!!ㅎㅎ﻿
361,제스처가 많은 언니손이 너무 기여오용 ㅜㅜ ❤️❤️﻿
362,영상잘보고가요💝💝﻿
363,ㅎㅎㅎ넘 잼써요😭😭﻿
364,진짜 궁금했는데 영상감사합니다😍😍😍😍﻿
365,가방 궁금했는데 어쩜 딱!!역시 언니는 ♡ ♡﻿
366,가격들도 궁금해요 ㅠㅠ﻿
367,영앤리치앤프리티..최고💘💘💘💘﻿
368,하늘언니의 아가들 이군뇨🌸😆﻿
369,언니 ........... 너무도움 많이되용❤❤﻿
370,헉..낮잠자고 일어나니 언니 알림이 딱..😍😍 깨자마자 얼굴보여서 기분조아요❤❤❤﻿
371,가격도 옆에 써주셨으면 좋겠어요!﻿
372,"영상 다봤당 진짜 하늘공주같아ㅜㅜㅜㅜㅜ
가방이 언니 빨을 받는데 어쬬지?😘﻿"
373,너무 도움되는 영상이었어요!!!! 저도 비슷한 스탈인거같애요❤️❤️﻿
374,와 저게 다 얼마에요....﻿
375,요즘 쇼핑하다가 리스테닌광고 사진보면 미소😊﻿
376,저 구찌백 리본만 좀 떼면 이쁠거같다ㅏㅏㅏㅏ﻿
377,"나도 각진가방 진짜 좋아하는데ㅠㅠ
다 내 취향..♥
그치만 돈이 업따﻿"
378,가방살려고 고민중이였는뎁ㅜㅠ잘보고갑니다 ㅎㅎ♡♡﻿
379,하늘님 귀걸이 정보 부탁드려도 될까여?? 영상 잘 봤습니다*^^*﻿
380,"존예!!
언니는 여러가지 일을 하시잖아요 시간관리 방법이나 몇 시간 자는지등 언니의 일정들이 궁금해요❤️❤️﻿"
381,허얼 ㅋㅋ 하늘님 영상 첨보는데 아는와이프 한지민님 목소리랑 완전 비슷해요 (까랑까랑한데 약간의 예쁜 허스키?)﻿
382,언니 이번엔 가지고 있는 악세사리 소개해주세요~♥ 아 진짜 하늘언니 갈수록 이뻐져 ㅜㅜ﻿
383,우아아 오늘 공듀님같아여🙈﻿
384,언니 화장 오늘따라 넘나 잘된 듯?﻿
385,인스타에 해리포터 ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ 갑자시 생각나네 ㅋㅋㅋㅋ﻿
386,미니백 좋아요💕🙊 개이득﻿
387,ㅜㅜㅜㅜㅜ언니가 최고야 하고싶은거 다해요!!﻿
388,13등이에여♥♥﻿
389,"언니 하늘색이랑 너무너무 잘 어울려요☁️☁️
진짜 완전 예뻐요ㅠㅠ💙💙﻿"
390,예뽀요!!!﻿
391,"역시 영 앤 리치 앤 큐트,...﻿"
392,언니 너무 예쁘고 귀여워요 ㅠㅠㅠㅠㅠ 진짜 사랑스러워요 ❤️❤️﻿
393,언니  티비 보고 있는데 언니가 가글 광고에 나오셔서 깜짝놀랐었어용...뒷북인강 암튼 너무 이쁘다구용♥﻿
394,언니ㅠㅠㅠㅠㅠ 하늘색 옷이 넘 잘어울려여ㅠㅠㅠㅠ 이름값오져💙💙﻿
395,하늘언니💗💗 가방﻿
396,💜💜💜﻿
397,머리 너무 이뽀요♡♡﻿
398,악 너무 기다렸던 영상!!!!💖💖💖💖💖﻿
399,❤️﻿
