,0
55,큰가방 ㅋㅋㅋ 저도 두번인가 들었는데 ㅋㅋ공감되네요 ㅋㅋ 다음엔 신발장도!!! 공개해주세여﻿
56,
57,日本語訳もしてほしい、、﻿
58,"많이 갖고 있으면 뭐하니??
전부 촌스럽고 안 이쁜데...ㅠ﻿"
59,하늘님 에너지가 너무 좋아요! 영상보면 제가 행복해짐ㅋㅋㅋ상큼상큼><﻿
60,"하늘언니~ 이제 곧 21살되는 하리보예요😀 
늘언니 조심스럽지만ㅠㅠ
영상에서 항상 밝은만큼.. 힘들고 무기력하고 그럴때가 있을것같은디ㅜ 그럴때 이겨내는법? 그럴때 뭐 하는지? 그런거 진짜 궁그매요ㅎㅎ 제 최애 유튜버 이신 만쿰..❤ 
저는 그럴때 우울한 감정에 매몰되기 너무 쉽더라구요,,,, 늘언니 방법이면 저두 해볼수있을것같아서요! 😛﻿"
61,늘언니 삭드쥬르 사이즈이름이 뭐에요?? 아님 가로 사이즈 몇센치에오??﻿
62,누나 천사보다 더 이뻐욤 ㅎ﻿
63,백 다 합해서 얼마에욤?﻿
64,오프 화이트 백 ㅋㅋㅋ﻿
65,다 괜찮은데요 투명백은 조금 ㅎㅅㅎ﻿
66,"I like the Gucci bag best, it looks so stylish :)﻿"
67,하늘색 안티고나 넘 이뻐요 ㅠㅠ﻿
68,마지막 샤넬 가방이랑 지방시가방이랑 모터백 넘나 갖고싶다..﻿
69,언니랑 취향이 비슷해서 항상 영상보면서 공감이많이되요ㅋㅋㅋㅋ﻿
70,생로랑 찡박힌거 엄청 마음에 드네요! 가격도! ㅋㅋㅋ 저도 미니백밖에 안들게되던데 도움됐어요 감사해요﻿
71,언니 넘 짱이에요...😭❤️ 근데 화면은 정면으로 고정하는게 좀 더 보기 편할 것 같아요﻿
72,주예수를믿어라 그리하면너와네집이 구원을받으리라﻿
73,발렌시아가 가방 진짜 뽐뿌옴..원래 다른가방 사고 싶었는데 가볍고 실용성 좋다는 말에..워낙 막 들고 다니는 1인이라 화이트는 싫어했는데 왠지 사..사고싶어..ㅠ﻿
74,생로랑 사이즈가 나노 아니면 베이비사이즈 인가요??﻿
75,와 박탈감 안 오고 어떤 가방 사는 게 좋을 지 계획 세우게 되는 하울 처음이에요.. ㅠㅠ 😭 다음에 대학생 패션 관련해서 글 올려주시면 안될까요?̊̈ 하늘님이 정말 유용하게 잘 소개해주실 거 같아요﻿
76,영상에 입생 정보안나와있는 가방 이름뭔가요..아시는분!!너무이뻐요.. 제발알려주세여..﻿
77,"발렌시아가 무겁나요??
사신사이즈뭐에용﻿"
78,해당 영상 의상 정보도 너무 궁금해요!!﻿
79,헉 언니 저랑 취향 비슷하신 드슈ㅠㅠㅠㅠㅠ 좋은 가방 알아가서 행복해용♥♥♥﻿
80,머리띠 정보좀 부탁드려도 될까요?﻿
81,돈많이 버니까 저정도는 사치아닌듯해﻿
82,cute bags!﻿
83,"진짜 이런 명품소개?영상에 첨 댓글 달아봐요. 다른영상보면 내가 명품을 샀어! 자랑할게! 이런 느낌들어서 하울링영상 진짜 안보고, 보더라도 질투나고 배아파서 짜증났는데ㅋㅋㅋㅋ 언니영상은 진짜 공감되고 아 저래서 저런가방을 사는구나 싶어요. 명품에 대한 설명이 아니고 언니가 직접 쓰고 느낀거 말해줘서 너무 좋았어요. 저도 가방막들고 막쓰거든욬ㅋㅋㅋㅋ 언니 진짜 감사해요!!!!  가방사러갑니다!!!!!!﻿"
84,
85,다음에는 가을 옷 쇼핑하고 후기 영상 올려주세요~﻿
86,언니 영상에서 입으신 원피스 정보 좀 알려주실수있나용!!?💙﻿
87,"발렌시아가 가격 뭐에요,,﻿"
88,가격 궁금해요 ㅎㅎ﻿
89,"자신의 말로서 하나의 영상을 만들어내는 건 생각보다 힘든 일이지 않을까 생각해요. 게다가 좋아하는 일 아니면 카페에서 커피 한 잔 마시는 게 아니라, 자신의 시간을 써서 만들어내야하는 일일 것임에 훨씬 힘들지 않을까 싶어요. 이 분 악플이 많나봐요. 선한 의도로 하는 일들을 선한 의도로 편히 봐주는 것이 좋을 것 같아요.﻿"
90,"인생은 하늘처럼,,﻿"
91,썸네일에 나온 구찌실비백 어디갔나요...😭﻿
92,"언니도 설명 잘하셧어요! 자신감을 가져요!
하리보가 응원합니다>3<♡﻿"
93,우리엄마보다 가방이 많으시네..엄마한테 미안하고 열심히 일해서 많이 사드려야지....﻿
94,왤케 웃겨요 ㅋㅋㅋㅋㅋ현실감 있어서 완전 재밌게 봤오요.﻿
95,오늘팬이됬어요.너무예쁘세요😍﻿
96,가격도 알려주세요 ㅠㅠ﻿
97,하늘님묘하게송혜교님닮으신거같아요﻿
98,"하늘님은 정말 솔직하구 귀엽구 착해서 보는내가 다 정화되는기분이에옹  항상화이또,,﻿"
99,대리만족 되서 너무 좋아요 ㅠㅠㅠㅠ늘 재밌게 보고있어요❤️❤️﻿
100,근데 이분은 원래 금수져인건가요?﻿
101,"Oh, my God! Look how beautiful you are! Wow!👸👩‍🎤🇰🇷﻿"
102,언니 발렌시아가 에브리데이 토드백 사이즈 미디움으로 기재되어 있는데 xs이 맞는것 같아요!﻿
103,매다 -> 메다﻿
104,저랑 가방 취향 소름돋게 똑같아여ㅋㅋㅋㅋㅋㅋㅋㅋㅋ﻿
105,다른 명품하울보다 훨씬 더 와닿는 생생한 후기라서 더 좋아요! 하늘님 넘 재밌으시고 귀여우시네요 ㅋㅋㅋ 좋은 정보 감사합니다 참고해서 좋은 가방구매하겠습니당 ^^﻿
106,"언니 입술색이 정말 제 취향인데
입술에 뭐 발랐는지 물어봐도 될까요??﻿"
107,샤넬보이백 무거워도 들만큼 간지터짐 청바지에흰티입고 저거메도 코디끝..﻿
108,입생로랑 징 가방 진짜 탐난다﻿
109,"하늘님 말할때 특징 찾아냈다!!!!!
‘쪼끔 쫌 진짜 많이 정말 너무 엄청 되게’
이런 강조하는말 진짜많이사용하셔요!!! 귀여워요...❤️﻿"
110,여러 유투버분들 백 소개하는 영상 많이 봤는데 그중에서도 제일 귀여우신거같아요!!!! 뭔가 딱히 정보될만한건 없는데 계속 보게되는 ㅋㅋ 마성의 영상 ㅋㅋ﻿
111,발렌시아가 진짜존예다ㅠㅠㅠ﻿
112,"가방소갠데 왜이렇게 언니한테 눈이 더 가죠?!?ㅇ0ㅇ 대부분 심플하고 가볍게 들 수있는 것을 보니 언니의 취향이 확고하게 보이네욬ㅋㅋㅌ
그런데 '기스'라는 말은 일본말인지라 다음엔 '흠집'이란 말을 더 많이 사용해주셨우면 좋겠어요😘 영상 잘봤습니다❤﻿"
113,발렌시아가 미니시티 모터가 아니고 파피에르 아닌가요???﻿
114,대박.. 저랑 가방 취향이며 미니백 고집하는거며 가방 막 다루는거며 어쩜 저랑 이렇게 똑같아용?? 영상 너무 유용하게 잘봤어요😚❤️ 감사합니다﻿
115,도움됩니당♡♡﻿
116,"왜 나는 가방보다 머리띠 영업이 되는가...
머리띠 어디껀지 알려주실 분 계신가요 ㅠㅜ 
넘 예뻐요﻿"
117,진짜 솔직하게 이야기해줘서 너무 죠아여ㅜㅜ♡♡♡ 근데 언니가 작다고 했던 가방들이 언니한테 잘어울려요﻿
118,루이비통 카푸신 진짜 비싸고 고급라인인데 잠깐 고민하다 엄마 드려야겠다고 하는거 너무 귀여워요 ㅋㅋ﻿
119,"구찌백 넘모 이뿌따,,,﻿"
120,언니~~오랜만에 옷 소개해쥬세요오오🙆 작년에 해주신거 완전 유용했어요!!!﻿
121,엄지척하실때마다 귀엽..💕ㅋㅋ 발렌시아가 흰색가방 진짜 예쁘네용ㅋㅋ﻿
122,우아 언니 부자❤️가방뷰자﻿
123,저 구찌가방이 이제 유행이지났군요... 저도 저거 큰걸루 있는데 아까워서 안매고 다녔는데.....﻿
124,마지막 샤넬백 제품이름이 뭔가요ㅜㅜ 예쁘다﻿
125,아..역시 예쁜 것도 좋지만 가방은 가볍고 수납력 좋고 무엇보다 자주 들 수 있는 가방으로 사야겠구나 싶어요 진짜 예뻐도 불편하면 안들게 되는게 사람은 다 똑같구나ㅠㅜ 첫번째 지방시 하늘색 입구 좁은거 빼고는 완벽해보여﻿
126,이언니는 뭔가 기분좋게 해주는 에너지가있는거 같음 귀여우심ㅜㅜ﻿
127,언니이잉 가격두 알구싶어용 ❤️﻿
128,저 하늘님옆에있는 루이비통가방 저도 있는데 저도 하늘님처럼 여태3번들었어요ㅋㅋㅋ왠지 손이 안간다는ㅜ﻿
129,근데 다 진품이예요??﻿
130,언니 귀걸이 어디서 사셨어용﻿
131,얼짱시대나오던애가 이렇게 될줄 누가 알았냐고~~~﻿
132,오늘 처음보는데 송혜교 닮었어요!﻿
133,어휘력이 부족하네요.﻿
134,"haneul eonnie, can you make a video of how you keep healty and have a healthy body, i wonder what vitamin did you eat, maybe omega 3 or another supplement that you take to stay healthy, please!!! i really want to know﻿"
135,"예쁜 가방이 엄청 많은데요. 
좋아요 누르고 갈게요. 
저의 여섯 동거 견들의 일상을 구경하러 놀러 오세요.﻿"
136,이쁜게 반칙.﻿
137,귀..귀여워!!!!!!!!!!!﻿
138,저도 가방 진짜 막드는 편이고 심플한거 좋아해요! 저도 디자인은 볼 줄아는데 ㅠㅜ 그게 궁금한게 아닌데 보통 가방 소개 영상은 가방 디자인 자랑(?)이고 진짜 후기 영상은 별로 없어서 별로 안좋아하는 편이에요 ㅠㅜㅠ 근데 언니 리뷰는 엄청 보기 편했어요!! 😍﻿
139,어깨에 세명올라가있는거같댘ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ도움많이됐어용 하늘님!!!! 가방의완성은하늘🙂💓﻿
140,이런영상좋아욯ㅎㅎㅎ﻿
141,샤넬 보이백 정말 사고싶었는데 ㅠㅠㅠㅠㅠ﻿
142,아ㅠㅠㅠㅠ귀여워ㅜㅠㅠㅠㅜㅠㅜㅜㅜ﻿
143,하늘색 발렌시아가 진짜 잘어울리거 예뻐요ㅠ﻿
144,발렌시아가 흰색 가방 이름이 뭐죠﻿
